file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0001_form_noise.wav,481-123719-0001,form,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,"I greet you for everything, or rather I call and tell you, that you're flying by so soon and you're in it. But I had a new little space that can fly off the head of your head. That's flying rescue and you could go on and find a new spot. Hmm, good luck for all.",1.1794871794871795
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0003_form_noise.wav,481-123719-0003,form,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,"But the color of the human view is very close. I suddenly became a hero. I would not have it made it by chance, but it's kind of a view of the view of the whole.",0.8709677419354839
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0006_form_noise.wav,481-123719-0006,form,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,"There were moments of childhood. I was thinking, I was thinking, I was thinking, I was thinking, I am looking for you. Oh my honor. I was thinking, Oh, I was thinking, Why are you? I was thinking, I'm here.",0.8461538461538461
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0008_form_noise.wav,481-123719-0008,form,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,if rain rain would be kicked out of allhen kissed透ner when drycolour before this that our引iring sunlight wasocracy anything with the chlorger's results it 움직s better,0.8958333333333334
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0009_form_noise.wav,481-123719-0009,form,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,And for that very reason I constantly optimize the lower and lower galaxy. I would be a hero or just rather remember that was nothing in the film.,0.6428571428571429
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0010_form_noise.wav,481-123719-0010,form,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,"That was my ruin for when I was in the mud and I couldn't get myself with the frost, with the other time I was a hero and the hero was a close to the mud.",0.29411764705882354
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0011_form_noise.wav,481-123719-0011,form,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,It is worth noting that the tax of the sublime and the useful ingredients even during the period of education from justice to crime when I was in the bottom. They came and checked at first as though the mind and year themselves.,0.5116279069767442
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0014_form_noise.wav,481-123719-0014,form,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,or Ph.G. to my writings face me tight completely answered the problem of identifying songs There was a correct message meeting,0.8048780487804879
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0016_form_noise.wav,481-123719-0016,form,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"into the street. No, I had a losty way of getting out of the door.",0.3333333333333333
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/form_noise/spk002/481-123719-0017_form_noise.wav,481-123719-0017,form,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,"It looks light, similar to blind and beautiful. Though it was fantastic love, though it would never apply to anything human in reality. Yet there were so much of this love that one did not feel afterwards, even the impulse to apply to reality.",0.3695652173913043
