file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0001_pitch_form.wav,481-123719-0001,pitch_form,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,I refuse everything or I will entirely resign myself to endure it. But I had a venence hate that I can pile everything. That was the final retribution of the line and the view in the course.,0.6410256410256411
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0003_pitch_form.wav,481-123719-0003,pitch_form,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,Wepoint with powder statesomor hrr And if the system is full we don't affect it All this wood do論是夢,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0006_pitch_form.wav,481-123719-0006,pitch_form,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,"There were moments as a positive concentration of such opinions that there was a continuous place of fire in me. All my all, I had a hope love. I will lead one with such presence as a fearful.",0.6153846153846154
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0008_pitch_form.wav,481-123719-0008,pitch_form,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,"The great thing for this should be all very important. For the body, for the body, for the body. And I think the camera isn't on the camera, it's almost ready. Almost ready, almost in front of the lower. Anything on the floor must go, it's like a mountain seat for yourself.",0.8541666666666666
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0009_pitch_form.wav,481-123719-0009,pitch_form,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,"And for that very reason, I quite contended in walking, quite close in reality. I did not be a hero or a problem in life. There was nothing in the dream.",0.6071428571428571
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0010_pitch_form.wav,481-123719-0010,pitch_form,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,"That was my dream. When I was in the mud, I conquered it myself. But the ball did other times I was a hero. And here I was a total of 10,000 mud.",0.5
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0011_pitch_form.wav,481-123719-0011,pitch_form,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,The needed acts of sublime and beautiful visit of Muk region are part of the condition which is an estimate along the Arctic Sea... Heers and arrangements as myeningation of the cells,0.8372093023255814
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0014_pitch_form.wav,481-123719-0014,pitch_form,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,You must think what inspired the rewrite process Those 22 years in the first time used in politics quiet there was a certain fact of me and I​ covered in aisinble-over connect the ministry of light,0.8536585365853658
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0016_pitch_form.wav,481-123719-0016,pitch_form,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"He's in the street. No, I have walking right there. Yeah, I have a lot.",0.9333333333333333
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form/spk002/481-123719-0017_pitch_form.wav,481-123719-0017,pitch_form,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,"It was flight to the sublime and beautiful. Though it was fantastic love, though it was never quite a aid in human reality. Yeah, there was so much of this love that wanted to talk to you afterwards, really impulse to apply to reality.",0.5217391304347826
