file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0001_pitch_noise.wav,481-123719-0001,pitch_noise,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,"I remember in the world how long it stopped and I felt used to this. When I had a gay cheek, I heard my mother say here. So...",0.9230769230769231
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0003_pitch_noise.wav,481-123719-0003,pitch_noise,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0006_pitch_noise.wav,481-123719-0006,pitch_noise,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,You know what I'm saying? You said that? You said that? You said that? I'm not. I said that? I'm not. I said that?,0.9487179487179487
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0008_pitch_noise.wav,481-123719-0008,pitch_noise,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0009_pitch_noise.wav,481-123719-0009,pitch_noise,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,From that limit to the constant temperature of the washroom all has gilded blood. Energy is dear to us of throughout New York.,0.8928571428571429
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0010_pitch_noise.wav,481-123719-0010,pitch_noise,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,Keeping Luis arrive a bit more in the evening. We're really hitting him this far and we're needed for the blueprint of a blooded transplant.,0.8823529411764706
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0011_pitch_noise.wav,481-123719-0011,pitch_noise,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0014_pitch_noise.wav,481-123719-0014,pitch_noise,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0016_pitch_noise.wav,481-123719-0016,pitch_noise,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"You can't do this. No, I can't walk through this.",1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_noise/spk002/481-123719-0017_pitch_noise.wav,481-123719-0017,pitch_noise,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,,1.0
