file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0001_pitch.wav,481-123719-0001,form,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,"I reduce everything, or rather I voluntarily resign myself to enduring it. But I had a reason to say that I can silence everything. That was the fine refuge in the blood and the beautiful, in dreams of course.",0.46153846153846156
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0003_pitch.wav,481-123719-0003,form,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,"and a whole different diva on his way home. I suddenly became a hero. I will not have a bit of my six-foot descent, even if you call lovely.",0.6451612903225806
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0006_pitch.wav,481-123719-0006,form,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,"There were more than a certain classification of such convenience that there was another thing this way of arguing in me. Oh my honor. I had faith, hope, love, I believe in life, yes, a time that has a bureau.",0.6923076923076923
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0008_pitch.wav,481-123719-0008,form,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,"But the great thing was that it should be all day before me. For rise up before me, and I had to come out into the line today, all those radio-bump or safe crowns with moral. Anything for the foremost place I did not conceive for myself.",0.4375
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0009_pitch.wav,481-123719-0009,form,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,"And for that very reason, I quite consistently occupied the lowest in reality. I wish we adhere or should grow up in the body, there was nothing in between.",0.5
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0010_pitch.wav,481-123719-0010,form,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,"That was my room and for when I was in the mud, I comforted myself with the vaulted other times I was a hero and a hero was a folk with the mud.",0.29411764705882354
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0011_pitch.wav,481-123719-0011,form,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,"It is worth noting that these attacks of the sublime and beautiful visiting even during the period of dissipation and just at the time, when I was teaching the woman, they keep in separate sorts as memorandum binding me of ourselves.",0.2558139534883721
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0014_pitch.wav,481-123719-0014,form,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,"even the significance of our dissipation. In fact, completely as we were focused on it, I've decided to solve it. There was a certain depth of meaning in it, and I could hardly resign myself to the simple vulgar, correct, dual-free, unheard.",0.6097560975609756
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0016_pitch.wav,481-123719-0016,form,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"into the street. No, I had a walk away to get out of the wall.",0.5333333333333333
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0017_pitch.wav,481-123719-0017,form,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,"It was quite serious a lie and a beautiful, though it was a classic love, who was never applied to anything human in reality. Yet, there was so much of this love that won't stop you afterwards, you only impulse required in reality.",0.5434782608695652
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch/spk002/481-123719-0020_pitch.wav,481-123719-0020,form,MUCH THAT WAS SUBLIME AND BEAUTIFUL SOMETHING IN THE MANFRED STYLE EVERYONE WOULD KISS ME AND WEEP,"much that was alive and beautiful, something to then for a child. Everyone who just knew me.",0.7058823529411765
