file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0001_noise.wav,481-123719-0001,form,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,"I do use to everything or rather I fall in the shadows, design myself to endure it. But I had a new little space that reconciled everything. That's the fine resty in the sublime and the useful. And in the course.",0.5897435897435898
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0003_noise.wav,481-123719-0003,form,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,But a call of your man's hero on a great note. I suddenly became a hero. I would not have admitted my 6-foot lieutenant even if he had called on him.,0.3548387096774194
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0006_noise.wav,481-123719-0006,form,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,"There were moments that had to be stopped at the sea. That's what happened. That there was not a secret place that I only listened to. On my honor, I had to go home. I believe, one day I had to find some miracle.",0.7948717948717948
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0008_noise.wav,481-123719-0008,form,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,"that a great thing was that it should be all ready for me. When rise up before me, and I can come out into the right of day, almost trying to wait for it and crowns with lower. Anything that the former place I could not conceive for myself.",0.375
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0009_noise.wav,481-123719-0009,form,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,"And for that very reason, I constantly intensified the lower reality. Either to be a hero or to dwell within the mud, there was nothing in the film.",0.4642857142857143
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0010_noise.wav,481-123719-0010,form,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,"That was my ruin for when I was in the mud and I trusted myself, but the thought that it was the time or the hero, and the hero was the close to the mind.",0.4411764705882353
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0011_noise.wav,481-123719-0011,form,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,"It is what helps us to keep the path of the blind and the beautiful Jesus is in it, even though in the period of dissipation and justifies the night and the bottom between the set of spurts as though reminding me of themselves.",0.6046511627906976
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0014_noise.wav,481-123719-0014,form,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,"These are insignificant to my disacmera painful facts to treat the Anne through the process of lanacöglichizing false. There was a certain HCB reunion, and I could call these in the sign myself,",0.7804878048780488
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0016_noise.wav,481-123719-0016,form,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"into the street. No, I had a lost in way of getting out of it all.",0.3333333333333333
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/noise/spk002/481-123719-0017_noise.wav,481-123719-0017,form,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,"in a light and a little sublime and a beautiful, though it was fantastic love. So it would never apply to anything human in the galaxy. Yes, there was so much of this love that one did not feel afterwards, even in close to five in the galaxy.",0.45652173913043476
