file,utt_id,variant,ref,hyp,wer
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0000_form.wav,5778-54535-0000,form,HE MEANT TO HAVE IT ONE OF THE BEST IN THE WORLD SO HE CALLED AN OFFICER INTO HIS COUNCIL CHAMBER AND SAID NOW TAKE PLENTY OF TIME TO LOOK ABOUT IN THE DIFFERENT COUNTRIES HAVE ALL THE MEN YOU WANT TO HELP YOU,"In it to have it one of the best in the world, so he caught an officer into his couch or chamber and said. Now take plenty of time to look about in the different countries. Have all the many we want to help you.",0.25
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0003_form.wav,5778-54535-0003,form,HE IS A DISTINGUISHED ARMY OFFICER AND A FINE ENGINEER HE IS NAMED FOR A GREAT OFFICER ANSWERED NICOLAS REMEMBERING OUR GENERAL WASHINGTON AND HE DISPATCHED A LETTER TO THE LOWELL ENGINEER,"He is a distinguished army officer and a flying engineer. He is named for a great officer and is a mixed remembering hour general Washington, and he dispatched the letter to the low engineer.",0.34375
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0005_form.wav,5778-54535-0005,form,BUT HE TOLD THE BOYS TO BE GOOD AND TO MIND THEIR MOTHER THESE BOYS WERE NAMED JAMES MC NEILL WILLIAM AND CHARLES THEIR MOTHER WAS A FINE WOMAN BUT SOMETIMES THEY WISHED SHE WOULD NOT BE QUITE SO STRICT,"that he told the boys to be good and to mind their mother. These boys were named James McNeil, William and Charles. Their mother was a fine woman, but sometimes they wish she would not be quite so strict.",0.2
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0006_form.wav,5778-54535-0006,form,SHE USED TO SAY ON SATURDAY AFTERNOONS COME BOYS EMPTY YOUR POCKETS AND GATHER UP YOUR TOYS WE WILL PUT THE KNIVES AND MARBLES AWAY AND GET READY FOR SUNDAY ALL DAY SUNDAY THEY WERE NOT ALLOWED TO READ ANY BOOK BUT THE BIBLE,"She used to say on Saturday after minutes. Come boys, enter your pockets and gather up your toys. We will put the knives and marbles away and get ready for Sunday. All day Sunday, they were not allowed to read any book but the Bible.",0.18181818181818182
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0007_form.wav,5778-54535-0007,form,BUT JAMES LIKED THE STORIES HE FOUND THERE AND WHEN HE WAS ONLY NINE COULD SAY ALMOST HALF THE BIBLE BY HEART JAMES WAS THE OLDEST IN THE FAMILY HE WAS BORN IN LOWELL AND WAS SUCH A CUNNING BABY THAT EVERYBODY WANTED HIS PICTURE,"The James liked the story to Fambare, and when he was only known, could say almost half-the-bibble by heart. James was the oldest in the family. He was born and roll and was such a cunning baby that everybody wanted his picture.",0.3111111111111111
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0010_form.wav,5778-54535-0010,form,MORE THAN ALL HIS PLAYTHINGS HE LIKED A PENCIL AND PAPER FROM THE TIME HE COULD SCRIBBLE AT ALL HE DREW PICTURES OF EVERYBODY AND EVERYTHING IN SIGHT,"More than all his play things, he liked a pencil and paper. From the time he could scribble at all, he drew pictures of everybody and everything inside.",0.21428571428571427
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0012_form.wav,5778-54535-0012,form,IT WAS A LONG HARD VOYAGE THERE AND POOR LITTLE CHARLIE DIED ON THE WAY THE TWO OTHER BOYS WERE BETTER SAILORS AND WERE AS WELL AS COULD BE WHEN THEY MET THEIR FATHER THEY DID ENJOY THE STRANGE SIGHTS IN SAINT PETERSBURG,"It was a long hard foliage there, and poor little Charlie died on the way. The two other boys were better sailors and were as well as could be when they met their father. They didn't enjoy the strange sights in the St. Petersburg.",0.18604651162790697
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0016_form.wav,5778-54535-0016,form,THAT OLD TIRESOME RHEUMATISM KEPT BOTHERING HIM AND BY AND BY HE HAD A LONG RHEUMATIC FEVER,"That old tiresome were the kids and kept bothering him, and by and by he had a long genetic fever.",0.4117647058823529
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0019_form.wav,5778-54535-0019,form,JAMES WAS VERY CAREFUL OF HIS MOTHER TOO ONE EVENING SHE HAD TAKEN THE BOYS IN A CARRIAGE TO SEE A BIG ILLUMINATION BANDS WERE PLAYING AND ROCKETS FLYING,"James was very careful on his mother, too. One evening she had taken the boys in a carriage to see a big in the animation. Bands were praying and rockets flying.",0.27586206896551724
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data_transformed\form\spk001\5778-54535-0021_form.wav,5778-54535-0021,form,HE ALWAYS WAS AS POLITE TO HER AS IF SHE WERE THE EMPEROR'S WIFE THE MAJOR WORKED TOO HARD ON THE GREAT RAILWAY AND DIED BEFORE JAMES WAS FIFTEEN,He always was as polite to her as if she were the Emperor's wife. The major work too hard on the great railway and that'd be for James who's 15.,0.2413793103448276
