file,utt_id,truth,prediction,wer,variant
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0000.wav,5778-54535-0000,HE MEANT TO HAVE IT ONE OF THE BEST IN THE WORLD SO HE CALLED AN OFFICER INTO HIS COUNCIL CHAMBER AND SAID NOW TAKE PLENTY OF TIME TO LOOK ABOUT IN THE DIFFERENT COUNTRIES HAVE ALL THE MEN YOU WANT TO HELP YOU," He meant to have it one of the best in the world, so he called an officer into his council chamber and said, Now take plenty of time to look about in the different countries, have all the men you want to help you.",0.09090909090909091,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0001.wav,5778-54535-0001,BUT FIND ME SOMEWHERE AN ENGINEER THAT WILL LAY OUT A PERFECT RAILROAD LINE MEN APPOINTED BY THIS COLONEL TRAVELED SOME MONTHS THEY VISITED MANY CITIES WROTE LETTERS AND ASKED ADVICE THEN THE COLONEL WENT BACK TO THE EMPEROR AND SAID," But find me somewhere, an engineer that will lay out a perfect railroad line. Men appointed by this Colonel traveled some months. They visited many cities, roadletters, and asked advice. Then the Colonel went back to the Emperor and said,",0.1951219512195122,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0002.wav,5778-54535-0002,THE MAN YOU NEED TO DO THIS PIECE OF WORK LIVES IN THE UNITED STATES OF AMERICA WHAT'S HIS NAME ASKED NICOLAS HE IS MAJOR GEORGE WASHINGTON WHISTLER HE IS ONE OF THE FOUNDERS OF THE CITY IN WHICH HE LIVES LOWELL MASSACHUSETTS," The man you need to do this piece of work lives in the United States of America. What's his name? Asked Nicholas. He is major George Washington, Whistler. He is one of the founders of the city in which he lives, low will Massachusetts.",0.20930232558139536,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0003.wav,5778-54535-0003,HE IS A DISTINGUISHED ARMY OFFICER AND A FINE ENGINEER HE IS NAMED FOR A GREAT OFFICER ANSWERED NICOLAS REMEMBERING OUR GENERAL WASHINGTON AND HE DISPATCHED A LETTER TO THE LOWELL ENGINEER," He is a distinguished army officer and a fine engineer. He is named for a great officer, answered Nicholas, remembering our general Washington, and he dispatched a letter to the Lowell Engineer.",0.15625,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0004.wav,5778-54535-0004,THE MAJOR MADE HASTE TO START FOR RUSSIA BECAUSE THE HONOR WAS GREAT AND THE PAYMENT WOULD BE GENEROUS HE LEFT HIS BOYS AND HIS WIFE BEHIND BECAUSE HE DID NOT KNOW JUST HOW COMFORTABLE HE COULD MAKE THEM IN THE FAR OFF COUNTRY," The major made haste to start for Russia because the honor was great, and the payment would be generous. He left his boys and his wife behind, because he did not know just how comfortable he could make them in the far off country.",0.09090909090909091,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0005.wav,5778-54535-0005,BUT HE TOLD THE BOYS TO BE GOOD AND TO MIND THEIR MOTHER THESE BOYS WERE NAMED JAMES MC NEILL WILLIAM AND CHARLES THEIR MOTHER WAS A FINE WOMAN BUT SOMETIMES THEY WISHED SHE WOULD NOT BE QUITE SO STRICT," but he told the boys to be good and to mind their mother. These boys were named James McNill, William and Charles. Their mother was a fine woman, but sometimes they wish she would not be quite so strict.",0.175,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0006.wav,5778-54535-0006,SHE USED TO SAY ON SATURDAY AFTERNOONS COME BOYS EMPTY YOUR POCKETS AND GATHER UP YOUR TOYS WE WILL PUT THE KNIVES AND MARBLES AWAY AND GET READY FOR SUNDAY ALL DAY SUNDAY THEY WERE NOT ALLOWED TO READ ANY BOOK BUT THE BIBLE," She used to say on Saturday afternoons. Come boys, empty your pockets and gather up your toys. We will put the knives and marbles away and get ready for Sunday. All day Sunday, they were not allowed to read any book but the Bible.",0.13636363636363635,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0007.wav,5778-54535-0007,BUT JAMES LIKED THE STORIES HE FOUND THERE AND WHEN HE WAS ONLY NINE COULD SAY ALMOST HALF THE BIBLE BY HEART JAMES WAS THE OLDEST IN THE FAMILY HE WAS BORN IN LOWELL AND WAS SUCH A CUNNING BABY THAT EVERYBODY WANTED HIS PICTURE," But James liked the story he found there, and when he was only nine, could say almost half the Bible by heart. James was the oldest in the family. He was born and low and was such a cunning baby that everybody wanted his picture.",0.17777777777777778,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0008.wav,5778-54535-0008,ONE OF HIS UNCLES WHO LOVED HIM DEARLY USED TO SAY IT'S ENOUGH TO MAKE SIR JOSHUA REYNOLDS THIS WAS A GREAT ENGLISH PAINTER WHO HAD DIED YEARS BEFORE COME OUT OF HIS GRAVE TO PAINT JIMMIE ASLEEP," One of his uncles who loved him dearly used to say, it's enough to make sure Joshua Reynolds, this was a great English painter who had died years before. Come out of his grave to paint Jimmy asleep.",0.15789473684210525,original
C:\Users\hp\Downloads\1657\p2-gabexa-proj2\code\data\spk001\5778-54535-0009.wav,5778-54535-0009,JIMMIE HAD DELICATE FEATURES AND LONG SILKY BROWN CURLS THAT HUNG ABOUT HIS FACE IN AMONG THESE WAS ONE WHITE LOCK THAT DROPPED STRAIGHT DOWN OVER HIS FOREHEAD THIS LOOKED LIKE A TINY FEATHER, Jimmy had delicate features and long silky brown curls that hung about his face. In among these was one white lock that dropped straight down over his forehead. This looked like a tiny feather.,0.11764705882352941,original
