file,utt_id,variant,ref,hyp,wer
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0001_pitch_form_noise.wav,481-123719-0001,pitch_form_noise,I GREW USED TO EVERYTHING OR RATHER I VOLUNTARILY RESIGNED MYSELF TO ENDURING IT BUT I HAD A MEANS OF ESCAPE THAT RECONCILED EVERYTHING THAT WAS TO FIND REFUGE IN THE SUBLIME AND THE BEAUTIFUL IN DREAMS OF COURSE,"I repeat everything all I want is that home has helped me work But I had to immediately take the time to take it That's fine, you're ready to leave the world",0.8717948717948718
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0003_pitch_form_noise.wav,481-123719-0003,pitch_form_noise,PUT A COLLAR OF GERMAN BEAVER ON HIS GREAT COAT I SUDDENLY BECAME A HERO I WOULD NOT HAVE ADMITTED MY SIX FOOT LIEUTENANT EVEN IF HE HAD CALLED ON ME,It's all the time. It's very hard. I found it in here. I found it in here. It's very hard.,0.9354838709677419
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0006_pitch_form_noise.wav,481-123719-0006,pitch_form_noise,THERE WERE MOMENTS OF SUCH POSITIVE INTOXICATION OF SUCH HAPPINESS THAT THERE WAS NOT THE FAINTEST TRACE OF IRONY WITHIN ME ON MY HONOUR I HAD FAITH HOPE LOVE I BELIEVED BLINDLY AT SUCH TIMES THAT BY SOME MIRACLE,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0008_pitch_form_noise.wav,481-123719-0008,pitch_form_noise,BUT THE GREAT THING WAS THAT IT SHOULD BE ALL READY FOR ME WOULD RISE UP BEFORE ME AND I SHOULD COME OUT INTO THE LIGHT OF DAY ALMOST RIDING A WHITE HORSE AND CROWNED WITH LAUREL ANYTHING BUT THE FOREMOST PLACE I COULD NOT CONCEIVE FOR MYSELF,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0009_pitch_form_noise.wav,481-123719-0009,pitch_form_noise,AND FOR THAT VERY REASON I QUITE CONTENTEDLY OCCUPIED THE LOWEST IN REALITY EITHER TO BE A HERO OR TO GROVEL IN THE MUD THERE WAS NOTHING BETWEEN,I hope that the energy that I can Undeously teach you must overcome Increasement of ridge invisible energy,0.9285714285714286
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0010_pitch_form_noise.wav,481-123719-0010,pitch_form_noise,THAT WAS MY RUIN FOR WHEN I WAS IN THE MUD I COMFORTED MYSELF WITH THE THOUGHT THAT AT OTHER TIMES I WAS A HERO AND THE HERO WAS A CLOAK FOR THE MUD,I have to find you. I have to be in the light. I have to find you. I have to be in the light. You are the host of the night.,0.8823529411764706
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0011_pitch_form_noise.wav,481-123719-0011,pitch_form_noise,IT IS WORTH NOTING THAT THESE ATTACKS OF THE SUBLIME AND THE BEAUTIFUL VISITED ME EVEN DURING THE PERIOD OF DISSIPATION AND JUST AT THE TIMES WHEN I WAS TOUCHING THE BOTTOM THEY CAME IN SEPARATE SPURTS AS THOUGH REMINDING ME OF THEMSELVES,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0014_pitch_form_noise.wav,481-123719-0014,pitch_form_noise,EVEN A SIGNIFICANCE TO MY DISSIPATION IN FACT COMPLETELY ANSWERED THE PURPOSE OF AN APPETISING SAUCE THERE WAS A CERTAIN DEPTH OF MEANING IN IT AND I COULD HARDLY HAVE RESIGNED MYSELF TO THE SIMPLE VULGAR DIRECT DEBAUCHERY OF A CLERK,,1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0016_pitch_form_noise.wav,481-123719-0016,pitch_form_noise,INTO THE STREET NO I HAD A LOFTY WAY OF GETTING OUT OF IT ALL,"You can really drink. No, I have a walk in the lake, and I will be all.",1.0
/Users/gabrieladiaz/Documents/GitHub/p2-gabexa-proj2/pitch_form_noise/spk002/481-123719-0017_pitch_form_noise.wav,481-123719-0017,pitch_form_noise,IN THOSE FLIGHTS INTO THE SUBLIME AND THE BEAUTIFUL THOUGH IT WAS FANTASTIC LOVE THOUGH IT WAS NEVER APPLIED TO ANYTHING HUMAN IN REALITY YET THERE WAS SO MUCH OF THIS LOVE THAT ONE DID NOT FEEL AFTERWARDS EVEN THE IMPULSE TO APPLY IT IN REALITY,"It was like you were alive and beautiful. So, when you were alive, you were human reality. You were so much like a child, but how you thought you were happy, you were so much like a child.",0.9130434782608695
